"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2023","32,254.86","32,876.83","32,990.46","32,190.60","318.64M","-1.66%"
"03/08/2023","32,798.40","32,872.08","32,903.44","32,612.70","242.76M","-0.18%"
"03/07/2023","32,856.46","33,428.31","33,453.25","32,838.21","301.59M","-1.72%"
"03/06/2023","33,431.44","33,425.32","33,572.22","33,383.47","329.82M","0.12%"
"03/03/2023","33,390.97","33,076.33","33,405.82","33,008.41","302.95M","1.17%"
"03/02/2023","33,003.57","32,780.97","33,083.45","32,665.85","319.32M","1.05%"
"03/01/2023","32,661.84","32,656.37","32,746.15","32,500.71","296.34M","0.02%"
"02/28/2023","32,656.70","32,873.47","32,873.47","32,636.43","308.69M","-0.71%"
"02/27/2023","32,889.09","32,906.16","33,189.28","32,814.18","246.23M","0.22%"
"02/24/2023","32,816.92","32,999.19","32,999.19","32,643.48","277.12M","-1.02%"
"02/23/2023","33,153.91","33,175.39","33,272.40","32,795.67","288.13M","0.33%"
"02/22/2023","33,045.09","33,169.33","33,245.97","32,948.27","325.33M","-0.26%"
"02/21/2023","33,129.59","33,699.69","33,699.69","33,115.74","348.32M","-2.06%"
"02/17/2023","33,826.69","33,677.01","33,846.64","33,517.73","303.77M","0.39%"
"02/16/2023","33,696.85","33,992.09","34,041.16","33,686.59","317.54M","-1.26%"
"02/15/2023","34,128.05","34,008.63","34,130.49","33,833.10","269.85M","0.11%"
"02/14/2023","34,089.27","34,194.09","34,331.47","33,827.45","291.75M","-0.46%"
"02/13/2023","34,245.93","33,887.39","34,249.60","33,887.39","303.58M","1.11%"
"02/10/2023","33,869.27","33,671.54","33,897.31","33,591.99","289.72M","0.50%"
"02/09/2023","33,699.88","34,105.61","34,252.57","33,607.13","347.53M","-0.73%"
"02/08/2023","33,949.01","34,132.90","34,161.65","33,899.79","324.09M","-0.61%"
"02/07/2023","34,156.69","33,769.78","34,240.00","33,634.10","361.63M","0.78%"
"02/06/2023","33,891.02","33,874.44","33,962.84","33,683.58","296.40M","-0.10%"
"02/03/2023","33,926.01","33,926.30","34,179.58","33,813.86","425.15M","-0.38%"
"02/02/2023","34,053.94","34,129.30","34,145.14","33,814.78","442.57M","-0.11%"
"02/01/2023","34,092.96","34,039.60","34,334.70","33,581.42","370.13M","0.02%"
"01/31/2023","34,086.04","33,803.56","34,095.23","33,664.91","360.25M","1.09%"
"01/30/2023","33,717.09","33,909.21","34,055.29","33,695.18","346.04M","-0.77%"
"01/27/2023","33,978.08","33,952.93","34,164.33","33,830.85","444.13M","0.08%"
"01/26/2023","33,949.41","33,771.66","33,953.79","33,635.60","333.74M","0.61%"
"01/25/2023","33,743.84","33,538.36","33,773.09","33,273.21","344.39M","0.03%"
"01/24/2023","33,733.96","33,444.72","33,782.92","33,310.56","305.71M","0.31%"
"01/23/2023","33,629.56","33,439.56","33,782.88","33,316.25","357.54M","0.76%"
"01/20/2023","33,375.49","33,073.46","33,381.95","32,948.93","369.42M","1.00%"
"01/19/2023","33,044.56","33,171.35","33,227.49","32,982.05","321.33M","-0.76%"
"01/18/2023","33,296.96","33,948.49","34,016.53","33,269.90","354.57M","-1.81%"
"01/17/2023","33,910.85","34,222.32","34,269.97","33,860.67","355.39M","-1.14%"
"01/13/2023","34,302.61","34,075.31","34,342.32","33,915.49","274.12M","0.33%"
"01/12/2023","34,189.97","34,047.86","34,292.67","33,792.10","308.20M","0.64%"
"01/11/2023","33,973.01","33,754.03","33,974.69","33,711.04","301.65M","0.80%"
"01/10/2023","33,704.10","33,516.43","33,726.54","33,421.80","269.50M","0.56%"
"01/09/2023","33,517.65","33,664.39","33,935.11","33,487.66","327.85M","-0.34%"
"01/06/2023","33,630.61","33,055.30","33,710.66","32,997.39","365.50M","2.13%"
"01/05/2023","32,930.08","33,191.72","33,191.72","32,812.33","342.67M","-1.02%"
"01/04/2023","33,269.77","33,165.14","33,409.10","33,033.48","383.35M","0.40%"
"01/03/2023","33,136.37","33,148.90","33,387.52","32,850.57","358.61M","-0.03%"
"12/30/2022","33,147.25","33,121.61","33,152.55","32,847.82","296.19M","-0.22%"
"12/29/2022","33,220.80","33,021.43","33,293.42","33,020.35","245.84M","1.05%"
"12/28/2022","32,875.71","33,264.76","33,379.55","32,869.15","254.30M","-1.10%"
"12/27/2022","33,241.56","33,224.23","33,387.72","33,069.58","246.01M","0.11%"
"12/23/2022","33,203.93","32,961.06","33,226.14","32,814.02","221.05M","0.53%"
"12/22/2022","33,027.49","33,233.35","33,233.35","32,573.43","342.11M","-1.05%"
"12/21/2022","33,376.48","33,028.09","33,437.84","33,028.09","328.02M","1.60%"
"12/20/2022","32,849.74","32,735.24","32,992.23","32,649.45","303.98M","0.28%"
"12/19/2022","32,757.54","32,921.45","33,038.94","32,581.97","330.04M","-0.49%"
"12/16/2022","32,920.46","33,166.46","33,166.46","32,654.59","788.12M","-0.85%"
"12/15/2022","33,202.22","33,773.00","33,773.00","33,016.16","394.30M","-2.25%"
"12/14/2022","33,966.35","34,086.07","34,395.65","33,704.17","344.32M","-0.42%"
"12/13/2022","34,108.64","34,268.44","34,712.28","33,890.88","443.98M","0.30%"
"12/12/2022","34,005.04","33,519.50","34,005.04","33,519.50","321.12M","1.58%"
"12/09/2022","33,476.46","33,746.71","33,844.63","33,462.65","292.62M","-0.90%"
"12/08/2022","33,781.48","33,695.97","33,899.17","33,642.46","272.73M","0.55%"
"12/07/2022","33,597.92","33,556.40","33,774.27","33,503.67","295.40M","0.00%"
"12/06/2022","33,596.34","33,936.87","34,006.63","33,418.59","307.79M","-1.03%"
"12/05/2022","33,947.10","34,335.73","34,335.73","33,846.81","315.96M","-1.40%"
"12/02/2022","34,429.88","34,265.45","34,483.21","34,039.73","291.06M","0.10%"
"12/01/2022","34,395.01","34,533.59","34,595.51","34,129.35","349.58M","-0.56%"
"11/30/2022","34,589.77","33,795.43","34,589.77","33,583.77","552.49M","2.18%"
"11/29/2022","33,852.53","33,847.80","33,933.91","33,662.45","282.17M","0.01%"
"11/28/2022","33,849.46","34,275.91","34,303.88","33,799.35","303.02M","-1.45%"
